key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AO,2020-01-11,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,18.555556,14.333333,20.462963,15.663333,,17.555556,93.926603
AO,2020-01-12,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,23.092593,13.666667,27.074074,0.677333,,16.62963,67.213776
AO,2020-01-13,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,23.851852,18.0,27.666667,1.016,,16.833333,64.979552
AO,2020-01-14,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,20.537037,14.5,24.666667,4.995333,,17.925926,85.006204
AO,2020-01-15,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,22.666667,14.0,26.037037,22.352,,16.962963,70.363235
AO,2020-01-16,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66318099999,179.897266,21.083333,13.75,28.5,0.508,,17.888889,81.985624
AO,2020-01-17,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,23.222222,15.666667,26.333333,0.0,,18.314815,74.068316
AO,2020-01-18,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,22.740741,18.666667,26.0,0.0,,17.462963,72.682468
AO,2020-01-19,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,23.759259,18.0,27.740741,0.0,,15.925926,63.318633
AO,2020-01-20,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,23.277778,18.537037,26.37037,0.0,,18.277778,73.555171
