key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
BZ,2020-01-21,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,23.080247,20.333333,26.067901,24.492857,,19.524691,81.536203
BZ,2020-01-22,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,22.253086,18.222222,26.234568,3.8735,,17.364198,74.494839
BZ,2020-01-23,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,23.08642,17.345679,29.04321,0.197556,,18.518519,76.371097
BZ,2020-01-24,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,24.549383,18.469136,29.697531,0.084667,,20.259259,77.887441
BZ,2020-01-25,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,24.580247,19.91358,29.006173,0.09525,,20.302469,77.793151
BZ,2020-01-26,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,24.049383,18.179012,29.876543,0.0,,19.290123,75.588615
BZ,2020-01-27,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,24.716049,18.944444,30.54321,0.0,,20.462963,78.065614
BZ,2020-01-28,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,25.598765,19.716049,31.04321,0.0,,21.382716,78.64497
BZ,2020-01-29,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,26.228395,20.851852,31.246914,0.0,,22.04321,78.703376
BZ,2020-01-30,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,26.271605,21.506173,31.271605,0.0,,22.753086,81.935015
BZ,2020-01-31,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,27.228395,22.654321,32.166667,0.0,,23.012346,78.695853
BZ,2020-02-01,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78583099999,67.03093,26.691358,22.969136,31.246914,0.0,,22.851852,80.515469
BZ,2020-02-02,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,78583099999,67.03093,24.45679,20.919753,29.401235,10.486571,,20.401235,78.91492
BZ,2020-02-03,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,78583099999,67.03093,23.253086,19.376543,27.444444,5.672667,,19.246914,79.285317
BZ,2020-02-04,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,78583099999,67.03093,25.376543,20.580247,30.141975,0.479778,,21.722222,80.999448
BZ,2020-02-05,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,,,,,,,BZ,BLZ,0,0,0,,,0,0,,,,,,,,,,,,397621,197761,199860,211314,179039,,,17432.0,0.715,78106,77850,75819,59715,43958,31809,17814,8311,1952,488,4238,1879613600,4815,,287827,17.066667,-88.7,,22970,21296,508,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,78583099999,67.03093,27.0,21.765432,32.277778,0.0,,22.08642,75.786339
