key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
DJ,2020-01-01,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,28.277778,22.5,31.0,0.0,,22.111111,69.268106
DJ,2020-01-02,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,30.0,,,0.0,,23.888889,69.825266
DJ,2020-01-03,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,28.611111,21.388889,30.5,0.0,,22.277778,69.075422
DJ,2020-01-04,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,28.222222,25.0,30.0,0.0,,23.388889,75.09077
DJ,2020-01-05,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,26.805556,19.805556,29.694444,0.0,,20.277778,67.846069
DJ,2020-01-06,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,29.277778,21.277778,31.0,0.0,,23.777778,72.307008
DJ,2020-01-07,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,27.722222,21.5,30.694444,0.0,,21.555556,69.165979
DJ,2020-01-08,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,29.555556,24.0,30.0,0.0,,25.055556,76.815691
DJ,2020-01-09,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,28.111111,18.111111,30.694444,0.0,,22.416667,71.678652
DJ,2020-01-10,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,,,,,,,DJ,DJI,0,0,0,,,0,0,,,,,,,,,,,,988002,518993,469009,215011,758549,568804,,42623.0,0.476,197110,179320,177328,162416,120921,78077,44334,22330,5464,1366,6165,3318716359,3408,,192801,11.8,42.433333,,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63125299999,81.128163,28.888889,21.0,30.0,0.0,,25.222222,80.629175
